FullName,FirstName,LastName,BirthYear,DeathYear
Charlie Favrot,Charlie,Favrot,,
Otto Bubert,Otto,Bubert,,
Isidore Barbarin,Isidore,Barbarin,1871,1960
Frank Demond,Frank,Demond,,
Matthew Houston,Matthew,Houston,1911,1981
Mike Stark,Mike,Stark,,
Nowell Glass,Nowell,Glass,,
George Colar,George,Colar,1908,1996
Oscar Rouzon,Oscar,Rouzon,1912,1987
Louis Cottrell,Louis,Cottrell,1911,1978
David Grillier,David,Grillier,,
Herman Sherman,Herman,Sherman,1923,1984
Darryl Johnson,Darryl,Johnson,,
John Brunious,John,Brunious,1940,2008
Noon Johnson,Noon,Johnson,,
Wendell Eugene,Wendell,Eugene,,
Alfred Lazard,Alfred,Lazard,,
Dean Andrews,Dean,Andrews,,
Pete Fountain,Pete,Fountain,1930,
Chester Jones,Chester,Jones,,
Clem Tervalon,Clem,Tervalon,,
Freddie Kohlman,Freddie,Kohlman,,
Pete Fountain,Pete,Fountain,,
Placide Adams,Placide,Adams,1929,2003
Waldren Joseph,Waldren,Joseph,1918,
Jerry Greene,Jerry,Greene,,
Louis Cottrell,Louis,Cottrell,,
Dave Stead,Dave,Stead,,
Emma Barrett,Emma,Barrett,1897,1983
Brady Smith,Brady,Smith,,
Ernie Cagnolatti,Ernie,Cagnolatti,1911,1983
Wardell Quezerque,Wardell,Quezerque,,
Louis Barbarin,Louis,Barbarin,1902,1997
Louis Nelson,Louis,Nelson,1902,199
Kid Howard,Kid,Howard,1908,1966
Dominick Barrocca,Dominick,Barrocca,,
Tom Maggiore,Tom,Maggiore,,
Raymond Burke,Raymond,Burke,1904,1986
Sam Margiotta,Sam,Margiotta,,
Hughie Hardy,Hughie,Hardy,,
Sal Gutierrez,Sal,Gutierrez,,
Tony Gougerat,Tony,Gougerat,,
Lawrence Martin,Lawrence,Martin,,
Harrison Brazley,Harrison,Brazley,,
George Guesnon,George,Guesnon,,
Albert Glenny,Albert,Glenny,1870,1958
Cie Frazier,Cie,Frazier,1904,1985
Joe Lindsey,Joe,Lindsey,,
Billie Pierce,Billie,Pierce,1907,1974
Dede Pierce,Dede,Pierce,1904,1973
Albert Burbank,Albert,Burbank,1902,1976
Abby Williams,Abby,Williams,,
Dick Allen,Dick,Allen,,
Jim Robinson,Jim,Robinson,1892,1976
Percy Humphrey,Percy,Humphrey,1905,1995
Ricard Alexis,Ricard,Alexis,1861,1960
Andrew Morgan,Andrew,Morgan,1901,1972
Paul Barnes,Paul,Barnes,1901,1981
Sammy Penn,Sammy,Penn,1902,1969
James Miller,James,Miller,1914,
George Fihle,George,Fihle,,
King Oliver,King,Oliver,1885,1938
Bob Shoffner,Bob,Shoffner,,
Bert Cobb,Bert,Cobb,,
Bud Scott,Bud,Scott,1890,1949
Darnell Howard,Darnell,Howard,1895,1966
Albert Nicholas,Albert,Nicholas,1900,1973
Luis Russell,Luis,Russell,1902,1963
Willie Humphrey,Willie,Humphrey,1900,1994
Clement Tervalon,Clement,Tervalon,1894,1989
Dave Bailey,Dave,Bailey,,
Eddie Richardson,Eddie,Richardson,,
Emile Barnes,Emile,Barnes,1892,1970
Sammy Hopkinds,Sammy,Hopkinds,,
James Prevost,James,Prevost,,
Eddie Dawson,Eddie,Dawson,1884,1972
Sammy Hopkins,Sammy,Hopkins,,
Walter Barnes,Walter,Barnes,,
George Thigpen,George,Thigpen,,
Thomas Lawrence,Thomas,Lawrence,,
Ed Burke,Ed,Burke,,
Bill Winston,Bill,Winston,,
Paul Johnson,Paul,Johnson,,
Irby Gage,Irby,Gage,,
Wilson Underwood,Wilson,Underwood,,
Lucius Wilson,Lucius,Wilson,,
Dave Bartholomew,Dave,Bartholomew,1920,
Earl Palmer,Earl,Palmer,,
Wynonie Harris,Wynonie,Harris,,
Ray Bauduc,Ray,Bauduc,1909,1988
Bob Crosby,Bob,Crosby,,
Billie Barrett,Billie,Barrett,,
Delois Barrett,Delois,Barrett,,
Rodessa Barrett,Rodessa,Barrett,,
Rudolph Beaulieu,Rudolph,Beaulieu,,
August Laurent,August,Laurent,,
